vehicle_model,battery_capacity_(kwh),charging_station_id,charging_station_location,charging_start_time,charging_end_time,energy_consumed_(kwh),charging_duration_(hours),charging_rate_(kw),charging_cost_(usd),day_of_week,state_of_charge_(start_%),state_of_charge_(end_%),distance_driven_(since_last_charge)_(km),temperature_(â°c),vehicle_age_(years),charger_type,location_type,charging_duration_minutes,hour_of_day,time_of_day,Estimated Energy Consumed (kWh),Charging Cost Per Hour (USD),Temperature (°F),Temperature Category
BMW i3,50.0,Station_206,Los Angeles,2024-01-01 10:00:00,2024-01-01 13:59:00,18.2061974773787,2.64863544772769,10.3107011128921,38.2212307040518,Monday,76.0865655704018,82.2655816267944,64.6346437488712,0.500433564395478,3.0,DC Fast Charger,Mall,239.0,10,Morning,41.07095943302019,14.430536575670484,32.90078041591186,Chilly
Chevy Bolt,85.0,Station_78,San Francisco,2024-01-01 11:00:00,2024-01-01 14:55:00,22.5649294841067,2.05788862152044,4.46482262892762,14.0508613520737,Monday,14.6189023720784,85.8574941541905,194.763806681737,34.2626112731923,0.0,DC Fast Charger,Highway,235.0,11,Morning,17.487221963299845,6.827804578506504,93.67270029174614,Sweltering
Hyundai Kona,100.0,Station_16,San Francisco,2024-01-01 12:00:00,2024-01-01 13:00:00,34.256452908516,3.0655847520228,5.52368861904296,10.9721359972182,Monday,19.2054469497732,51.6264827292998,249.127596515424,23.6629653623388,0.0,Level 2,Institutional,60.0,12,Afternoon,5.52368861904296,3.579133145798148,74.59333765220984,Mild
Nissan Leaf,75.0,Station_327,Houston,2024-01-01 13:00:00,2024-01-01 15:54:00,16.561064325225,3.5909657181461,19.7690987175571,37.4418566028684,Monday,25.7754153897632,69.2012290988145,159.231610218963,34.1103486385967,7.0,Level 2,Parking,174.0,13,Afternoon,57.33038628091559,10.426681717863467,93.39862754947406,Sweltering
BMW i3,85.0,Station_96,Houston,2024-01-01 14:00:00,2024-01-01 17:32:00,12.9275452909475,3.42180933784074,24.2111501171191,18.5528156774562,Monday,71.6835438351185,63.7066379406683,155.360605436819,39.5054456876591,4.0,Level 1,Residential,212.0,14,Afternoon,85.54606374715415,5.4219314537155245,103.10980223778638,Sweltering
Nissan Leaf,100.0,Station_147,Los Angeles,2024-01-01 15:00:00,2024-01-01 17:19:00,27.3543178846107,2.70328612753427,11.1124988416708,33.0934927110557,Monday,10.6771537293847,72.4034701522673,247.659436921476,-8.30213689912669,1.53523408779526,DC Fast Charger,Commercial,139.0,15,Afternoon,25.74395564987069,12.241949667844093,17.056153581571955,Below Freezing
BMW i3,97.681812229825,Station_2,New York,2024-01-01 16:00:00,2024-01-01 18:02:00,24.7269376807088,3.45868027877244,49.4027386156697,17.4948084610739,Monday,67.5919709107759,89.9422293648587,237.306420942768,4.41532961880046,7.0,DC Fast Charger,Public,122.0,16,Afternoon,100.45223518519505,5.0582323461488565,39.94759331384083,Chilly
Hyundai Kona,50.0,Station_10,Chicago,2024-01-01 17:00:00,2024-01-01 20:13:00,23.8240404737053,0.848218267818304,6.61428012474619,6.43058921199716,Monday,57.5951951195195,74.9619503470837,22.0068291634381,18.4057090502593,6.0,Level 2,Mall,193.0,17,Afternoon,21.275934401266912,7.581290637063537,65.13027629046674,Mild
Tesla Model 3,100.0,Station_434,New York,2024-01-01 18:00:00,2024-01-01 21:03:00,42.6380181916728,0.807532158261799,20.4908460459736,25.0787937101842,Monday,55.5170508740234,52.7134886858277,280.86207097558,37.430356532255,0.0,Level 1,Highway,183.0,18,Evening,62.49708044021948,31.05609287952808,99.374641758059,Sweltering
Nissan Leaf,50.0,Station_81,Los Angeles,2024-01-01 20:00:00,2024-01-01 22:54:00,50.2790666735719,3.16887289218907,30.4899602339686,28.8728946080081,Monday,16.545512365179,77.9363271394957,15.42044459598,33.980310103059,3.0,Level 2,Parking,174.0,20,Evening,88.42088467850894,9.111408248395406,93.1645581855062,Sweltering
Hyundai Kona,62.0,Station_485,New York,2024-01-01 21:00:00,2024-01-01 22:55:00,59.1350316162392,2.93176149509574,25.603799331857402,34.8532344018844,Monday,71.5303121297424,75.9743515870312,219.626356921434,-2.755069331695,5.0,Level 1,Residential,115.0,21,Evening,49.07394871939336,11.88815476981569,27.040875202949,Below Freezing
BMW i3,75.0,Station_140,Chicago,2024-01-01 22:00:00,2024-01-02 01:02:00,49.1964295897138,2.56281730426841,19.1948828370796,14.8561312186067,Monday,49.0242391095051,64.4818739375919,298.188122318363,39.958937316772,4.25793670275829,DC Fast Charger,Commercial,182.0,22,Evening,58.22447793914145,5.79679682740693,103.9260871701896,Sweltering
Tesla Model 3,100.0,Station_326,New York,2024-01-01 23:00:00,2024-01-01 23:31:00,68.4471263202637,2.07142920922343,49.7103069690128,38.4060616960594,Monday,19.2331391273054,74.0061508809506,280.91546822652,3.5808399539001,5.0,DC Fast Charger,Public,31.0,23,Evening,25.683658600656614,18.540851661765295,38.44551191702018,Chilly
Tesla Model 3,100.0,Station_150,Houston,2024-01-02 00:00:00,2024-01-02 01:55:00,27.6043846824769,0.957137660126463,11.238538626794,24.0375346885158,Tuesday,65.4868865811333,65.3520962744962,173.471526505292,35.9778219180484,4.0,Level 1,Mall,115.0,0,Night,21.540532368021832,25.113978573719283,96.76007945248712,Sweltering
Chevy Bolt,75.0,Station_288,San Francisco,2024-01-02 01:00:00,2024-01-02 03:42:00,40.1780034999472,3.60417353537261,12.3186147959084,38.7631938251417,Tuesday,80.3440837271487,79.9955631311957,82.754613940145,21.5368439683551,1.0,DC Fast Charger,Highway,162.0,1,Night,33.26025994895269,10.755085304496651,70.76631914303918,Mild
Chevy Bolt,75.0,Station_361,Houston,2024-01-02 02:00:00,2024-01-02 02:33:00,43.4877512247923,3.65254033543394,36.1823718837234,27.4483108843059,Tuesday,88.7484790715381,87.8240289988281,80.9126651230652,29.8722098730614,0.361215165803059,Level 1,Institutional,33.0,2,Night,19.90030453604787,7.51485496765771,85.76997777151053,Hot
Nissan Leaf,50.0,Station_340,San Francisco,2024-01-02 03:00:00,2024-01-02 06:13:00,10.3385177238564,1.54771371769637,45.7767311942711,9.85582689293721,Tuesday,98.3327953116331,94.5048517696845,162.686544360822,5.50475872838064,0.0,Level 1,Parking,193.0,3,Night,147.24848534157204,6.367990914758257,41.90856571108515,Chilly
BMW i3,75.0,Station_129,Los Angeles,2024-01-02 04:00:00,2024-01-02 04:35:00,31.6844845865744,2.43967793815389,48.6487231907922,25.6171039958087,Tuesday,34.7276390959767,54.4020503852157,152.257515285449,20.3785623102743,3.0,Level 2,Residential,35.0,4,Night,28.37842186129545,10.500199061189702,68.68141215849374,Mild
BMW i3,75.0,Station_438,Chicago,2024-01-02 05:00:00,2024-01-02 07:58:00,56.5932568591493,3.15325725497279,45.8117310024405,33.1320917802476,Tuesday,29.207671702279,85.0081062406635,186.15573210131,12.333415373869,0.0,DC Fast Charger,Commercial,178.0,5,Night,135.90813530724017,10.507259351579135,54.2001476729642,Cool
Chevy Bolt,100.0,Station_239,New York,2024-01-02 06:00:00,2024-01-02 09:54:00,19.4738005954271,1.43553278726776,7.04393634227924,36.9452729151951,Tuesday,31.3207869795198,78.0566528179461,152.257515285449,8.3529060765348,2.0,DC Fast Charger,Public,234.0,6,Morning,27.471351734889037,25.736279409899645,47.03523093776264,Cool
BMW i3,100.0,Station_58,Chicago,2024-01-02 07:00:00,2024-01-02 09:27:00,38.2891993355427,2.00766405426607,12.0643914590351,17.0117829455176,Tuesday,75.6447784790562,65.6173071859295,238.909310963108,2.27316290097205,6.0,Level 1,Mall,147.0,7,Morning,29.557759074636,8.47342109321995,36.09169322174969,Chilly
BMW i3,100.0,Station_198,New York,2024-01-02 08:00:00,2024-01-02 09:58:00,16.1362387253963,1.30692727174628,21.5178150485543,26.4381942374904,Tuesday,23.6039914321327,88.2000728013921,35.5038831935735,39.3840139153416,1.0,Level 2,Highway,118.0,8,Morning,42.318369595490125,20.229277335504992,102.89122504761488,Sweltering
Tesla Model 3,62.0,Station_211,Houston,2024-01-02 09:00:00,2024-01-02 12:03:00,60.0670850889562,0.999100188403916,7.65157004698044,18.0343900405054,Tuesday,22.8814666259389,51.4342786819923,46.3575588605661,13.9915974832069,1.0,Level 2,Institutional,183.0,9,Morning,23.337288643290343,18.05063220868342,57.18487546977242,Cool
Chevy Bolt,75.0,Station_402,Houston,2024-01-02 10:00:00,2024-01-02 13:32:00,57.7243794610114,1.87358159703977,4.48564710517362,35.5030001702529,Tuesday,41.8724796424057,79.6479727748643,157.614654008066,28.4298073765672,1.80917286750187,DC Fast Charger,Parking,212.0,10,Morning,15.849286438280124,18.94926819645704,83.17365327782096,Hot
Chevy Bolt,75.0,Station_45,Chicago,2024-01-02 12:00:00,2024-01-02 15:10:00,39.9405636199806,3.47000343353716,28.6251993267555,15.8553274305534,Tuesday,85.8575557996026,50.4036547408921,102.430302182111,31.4613090168146,1.0,DC Fast Charger,Commercial,190.0,12,Afternoon,90.64646453472574,4.569254104279435,88.63035623026629,Hot
Hyundai Kona,75.0,Station_97,New York,2024-01-02 13:00:00,2024-01-02 13:43:00,73.3866195227557,1.04045230518997,38.4508319008779,15.8827039838235,Tuesday,49.2753875282366,94.5970819041781,42.0957439440022,33.9295703727136,6.0,DC Fast Charger,Public,43.0,13,Afternoon,27.556429528962497,15.265191786877317,93.07322667088448,Sweltering
Tesla Model 3,85.0,Station_279,Los Angeles,2024-01-02 14:00:00,2024-01-02 15:25:00,61.520759860849,1.28041070803493,12.5102489624419,26.5057129810641,Tuesday,87.9846213800061,79.3884433831648,141.243753497886,5.76105067353654,7.0,Level 2,Mall,85.0,14,Afternoon,17.722852696792692,20.70094604390095,42.36989121236577,Chilly
Nissan Leaf,100.0,Station_23,Houston,2024-01-02 15:00:00,2024-01-02 16:50:00,68.1778500363741,3.24244605824849,23.3116190829526,8.49857193683502,Tuesday,17.0404200244561,56.0786510080371,130.376013762084,-3.19145536564635,2.0,Level 2,Highway,110.0,15,Afternoon,42.73796831874643,2.6210372614265767,26.25538034183657,Below Freezing
BMW i3,79.7992037611215,Station_410,Los Angeles,2024-01-02 16:00:00,2024-01-02 18:58:00,67.5180582234302,1.96234054015525,6.89787832977716,29.2223619494918,Tuesday,80.8625886335702,62.5253177655916,119.630992334885,35.2331584865964,1.96923272232439,Level 2,Institutional,178.0,16,Afternoon,20.46370571167224,14.89158550797706,95.41968527587352,Sweltering
Tesla Model 3,100.0,Station_461,Houston,2024-01-02 17:00:00,2024-01-02 18:15:00,39.3987423560806,2.3977153605176,20.4603648689501,26.6197177488135,Tuesday,28.2522982607263,96.287092238838,111.016539501643,19.7810838915385,2.9416632350805,Level 2,Parking,75.0,17,Afternoon,25.57545608618763,11.102117535363766,67.60595100476931,Mild
BMW i3,85.0,Station_391,Houston,2024-01-02 18:00:00,2024-01-02 20:53:00,12.0493197062451,1.37388135793178,29.46894435778,32.0420985990449,Tuesday,36.6368521580249,66.9761043236927,83.2452214256387,39.4161309243732,4.0,Level 1,Residential,173.0,18,Evening,84.96878956493234,23.32231849137293,102.94903566387175,Sweltering
Nissan Leaf,48.7964826397351,Station_335,San Francisco,2024-01-02 19:00:00,2024-01-02 19:45:00,77.0536063752363,3.03020268523027,8.38803953813644,6.36462969363799,Tuesday,15.1441224713027,84.3423268685863,144.013981192621,22.0694708005637,1.0,DC Fast Charger,Commercial,45.0,19,Evening,6.29102965360233,2.100397351193797,71.72504744101465,Mild
Tesla Model 3,62.0,Station_27,Los Angeles,2024-01-02 21:00:00,2024-01-02 22:53:00,46.8071959448239,3.8779924525819,16.9183319837312,10.6088757877519,Tuesday,49.2987655065508,90.9706752269997,210.17109719106,-0.0390790306437483,1.0,DC Fast Charger,Mall,113.0,21,Evening,31.862858569360426,2.7356617934335317,31.929657744841254,Below Freezing
Nissan Leaf,75.0,Station_282,San Francisco,2024-01-02 22:00:00,2024-01-03 01:06:00,67.4754661400814,2.10511707885319,49.6007996484768,19.0307002127208,Tuesday,63.0359418743688,81.7509535035937,97.4539049287794,3.19412464249623,5.0,Level 1,Highway,186.0,22,Evening,153.76247891027808,9.04020987900977,37.749424356493215,Chilly
Hyundai Kona,62.0,Station_97,Chicago,2024-01-02 23:00:00,2024-01-02 23:37:00,30.7109340271038,1.6336686079712,6.35266144526304,18.1318317118757,Tuesday,76.1200533584582,76.6824309058843,18.9345154884507,27.8951767792008,0.0,Level 2,Institutional,37.0,23,Evening,3.9174745579122083,11.098843194638498,82.21131820256144,Hot
Nissan Leaf,85.0,Station_463,Los Angeles,2024-01-03 00:00:00,2024-01-03 01:57:00,42.691405379616896,1.74343526320066,14.1496661870688,13.1128736659584,Wednesday,77.8094228183098,87.9481144809318,212.940341808266,-4.44667067032087,1.0,Level 1,Parking,117.0,0,Night,27.591849064784157,7.521285098871594,23.995992793422435,Below Freezing
BMW i3,100.0,Station_36,New York,2024-01-03 01:00:00,2024-01-03 03:40:00,8.7131905759446,2.20954282349725,49.2753455894195,9.6441014139046,Wednesday,27.1961960125536,86.8939176402994,170.475054122701,5.37807958403098,6.0,Level 2,Residential,160.0,1,Night,131.40092157178532,4.364749717156411,41.68054325125576,Chilly
BMW i3,85.0,Station_109,San Francisco,2024-01-03 02:00:00,2024-01-03 02:48:00,9.06588081544947,0.512378182961286,40.1780019914574,24.5018933100788,Wednesday,13.8738581133815,93.6284230625926,226.219363164709,30.6919838018076,2.6163324827383,DC Fast Charger,Commercial,48.0,2,Night,32.14240159316592,47.81993871883905,87.24557084325367,Hot
BMW i3,50.0,Station_55,Los Angeles,2024-01-03 03:00:00,2024-01-03 05:06:00,58.7339736169092,1.88926151834522,13.1757272963026,28.1023100571724,Wednesday,83.8619269082839,71.3744825092329,57.380724252251,1.94110515648487,3.0,Level 1,Public,126.0,3,Night,27.66902732223546,14.874759150224397,35.49398928167277,Chilly
BMW i3,50.0,Station_192,Chicago,2024-01-03 04:00:00,2024-01-03 05:35:00,65.986249127286,3.31380235771618,46.2784433131593,18.8496104053971,Wednesday,17.3896671420717,73.4380396237612,234.996661572948,-7.71942591107402,0.0,Level 2,Mall,95.0,4,Night,73.27420191250222,5.688212020703598,18.105033360066763,Below Freezing
Hyundai Kona,62.0,Station_219,Los Angeles,2024-01-03 05:00:00,2024-01-03 06:48:00,74.999706433726,1.91130315438278,35.9251261237979,34.0866186581668,Wednesday,87.2893057994203,80.4164172952246,51.8283520174209,17.8053836461221,5.0,DC Fast Charger,Highway,108.0,5,Night,64.66522702283622,17.83422926917862,64.04969056301978,Mild
Chevy Bolt,100.0,Station_185,Houston,2024-01-03 06:00:00,2024-01-03 07:55:00,17.7694364094076,3.31407976331695,34.4582419372599,9.79849813795915,Wednesday,27.6974924861964,70.510267248631,166.311462999467,19.7033591793594,4.0,DC Fast Charger,Institutional,115.0,6,Morning,66.04496371308147,2.9566271296235085,67.46604652284692,Mild
Tesla Model 3,76.8761003759929,Station_69,New York,2024-01-03 07:00:00,2024-01-03 09:33:00,50.2689340743654,1.67835841988792,36.3033723483446,38.9419399625693,Wednesday,13.488270686897,82.6952118584771,133.992093643198,3.04282934104162,0.0,DC Fast Charger,Parking,153.0,7,Morning,92.57359948827873,23.20239795095128,37.47709281387492,Chilly
BMW i3,69.8840742491513,Station_317,San Francisco,2024-01-03 08:00:00,2024-01-03 11:51:00,76.4504649874306,3.8734499805785,11.3390631626393,30.1922344387864,Wednesday,63.6744634363287,55.3897760839862,191.937914994327,10.4246450298844,2.0,Level 2,Residential,231.0,8,Morning,43.65539317616131,7.794662275276674,50.76436105379192,Cool
Nissan Leaf,62.0,Station_130,Houston,2024-01-03 09:00:00,2024-01-03 12:59:00,77.8637267603104,0.917902247267097,47.1540098035078,28.303191116127,Wednesday,56.9174217632437,57.4656822503444,129.389411109067,38.4667794460219,3.0,DC Fast Charger,Commercial,239.0,9,Morning,187.8301390506394,30.83464628221044,101.24020300283942,Sweltering
BMW i3,100.0,Station_55,Chicago,2024-01-03 10:00:00,2024-01-03 12:59:00,21.8929926751434,1.28528389692332,25.3739543052066,8.6378216906124,Wednesday,80.2255338056057,64.6673618829302,148.415611663147,5.07316772415532,7.0,DC Fast Charger,Public,179.0,10,Morning,75.69896367719969,6.720555444045785,41.13170190347958,Chilly
Nissan Leaf,100.0,Station_378,Houston,2024-01-03 11:00:00,2024-01-03 12:15:00,71.280004162354,2.41375493689899,40.6163992301317,6.74472881222645,Wednesday,26.1565979508551,89.9245885276527,140.46521317115,33.0577308063293,5.0,Level 2,Mall,75.0,11,Morning,50.77049903766462,2.7942889765319623,91.50391545139274,Sweltering
Nissan Leaf,62.0,Station_97,Houston,2024-01-03 12:00:00,2024-01-03 14:22:00,21.8276881773864,2.08210000712639,26.5071232215252,36.0680414961796,Wednesday,33.2559850917536,51.5011322672343,48.0443871562231,38.656443957282,7.0,Level 1,Highway,142.0,12,Afternoon,62.733524957609646,17.322915024604846,101.58159912310761,Sweltering
BMW i3,75.0,Station_336,Chicago,2024-01-03 13:00:00,2024-01-03 15:00:00,62.723162291274,2.11789334995435,30.9970269340748,30.0444423528283,Wednesday,82.8441800657277,72.8332856871669,282.942321773582,32.8527326236497,7.0,DC Fast Charger,Institutional,120.0,13,Afternoon,61.9940538681496,14.186003442277153,91.13491872256945,Sweltering
Hyundai Kona,124.315911385526,Station_87,Houston,2024-01-03 14:00:00,2024-01-03 16:50:00,46.1951370011332,0.650507579056001,47.8775235576052,30.8641808578487,Wednesday,53.0051853266171,59.9016462731114,25.0272572556941,6.17125670947679,1.0,Level 2,Parking,170.0,14,Afternoon,135.65298341321474,47.446304780396204,43.10826207705822,Chilly
Nissan Leaf,100.0,Station_294,San Francisco,2024-01-03 15:00:00,2024-01-03 16:02:00,29.3456598572708,2.48209067531686,6.87118462123503,24.649758729942,Wednesday,85.3314190189915,67.4779056255514,127.021801060325,34.0619391913697,0.0,Level 1,Residential,62.0,15,Afternoon,7.100224108609532,9.9310468288171,93.31149054446546,Sweltering
Nissan Leaf,50.0,Station_119,Los Angeles,2024-01-03 16:00:00,2024-01-03 18:42:00,76.933421899722,2.12342020032518,34.1768555027565,34.2283019045473,Wednesday,27.1746153338806,92.1446336973448,295.893722074589,7.94168809172325,2.59185132751375,DC Fast Charger,Commercial,162.0,16,Afternoon,92.27750985744257,16.119419933607862,46.29503856510185,Cool
BMW i3,62.0,Station_208,Houston,2024-01-03 17:00:00,2024-01-03 18:46:00,59.2546016641196,1.27962069595796,25.603799331857402,12.2204383035666,Wednesday,77.0369739868867,91.8292748714597,167.297572773094,35.2714506862569,7.0,Level 2,Public,106.0,17,Afternoon,45.23337881961474,9.550047402459397,95.48861123526243,Sweltering
Nissan Leaf,100.0,Station_334,San Francisco,2024-01-03 18:00:00,2024-01-03 21:04:00,37.0629277785024,1.60909943260294,15.230062587672,37.8753345765936,Wednesday,7.52044472697981,67.7978726501248,98.1459810195708,16.4837059350419,2.0,Level 2,Mall,184.0,18,Evening,46.705525268860804,23.53821883792789,61.67067068307542,Mild
Nissan Leaf,85.0,Station_413,Los Angeles,2024-01-03 19:00:00,2024-01-03 21:30:00,67.695161751238,0.857582464834976,32.9750687414216,13.7756192129208,Wednesday,22.488399810992,86.7776661141652,81.2845003767588,-7.33264830375076,6.0,DC Fast Charger,Highway,150.0,19,Evening,82.43767185355401,16.063317264272225,18.80123305324863,Below Freezing
BMW i3,75.0,Station_154,Los Angeles,2024-01-03 20:00:00,2024-01-03 22:37:00,16.4140169325366,1.70297482247466,25.603799331857402,21.6677866438732,Wednesday,36.9502836111097,77.1361649352488,188.471489818312,18.5387108180019,7.0,Level 1,Institutional,157.0,20,Evening,66.99660825169353,12.72349206689203,65.36967947240342,Mild
BMW i3,50.0,Station_35,Houston,2024-01-03 21:00:00,2024-01-03 22:47:00,67.0056821431892,3.60803096100923,4.09236086518049,14.4239663909643,Wednesday,57.6776607510287,57.1128622485407,276.368430312231,-2.72490276589783,4.12276745693106,Level 1,Parking,107.0,21,Evening,7.298043542905208,3.997739084514303,27.095175021383906,Below Freezing
Tesla Model 3,75.0,Station_79,San Francisco,2024-01-03 22:00:00,2024-01-04 01:01:00,70.6172925948444,3.28014296877269,26.0704136274459,15.4707779072451,Wednesday,86.2260251957181,57.9696554230918,23.0039987492962,34.8479079753862,2.771346483706,Level 1,Residential,181.0,22,Evening,78.64574777612847,4.716494998702359,94.72623435569515,Sweltering
Hyundai Kona,75.0,Station_67,Houston,2024-01-03 23:00:00,2024-01-04 00:36:00,61.1304758303778,0.947277208902377,23.281804960483,37.1489817284716,Wednesday,34.8990437491787,92.355661174546,58.8553155178702,7.66264970899533,1.0,DC Fast Charger,Commercial,96.0,23,Evening,37.250887936772806,39.216589800061406,45.792769476191594,Cool
Hyundai Kona,85.0,Station_343,Chicago,2024-01-04 00:00:00,2024-01-04 02:24:00,22.8820384215112,1.569470713575,29.9892225021944,10.7095820243619,Thursday,15.6744854696807,96.5977024176757,98.4740270927869,19.2131644867677,3.0,DC Fast Charger,Public,144.0,0,Night,71.97413400526656,6.823690261774435,66.58369607618187,Mild
Nissan Leaf,59.8327265122426,Station_413,Los Angeles,2024-01-04 01:00:00,2024-01-04 02:32:00,12.8948871860318,0.581504778049036,40.8840988982289,15.1973341653536,Thursday,31.5491822038839,97.4625409817398,183.171281149343,28.6376043229145,2.0,Level 1,Mall,92.0,1,Night,62.688951643950986,26.134495775496568,83.5476877812461,Hot
Hyundai Kona,85.0,Station_34,Houston,2024-01-04 02:00:00,2024-01-04 04:22:00,69.1691670556672,2.28524216132747,5.55735850932808,20.7664644080264,Thursday,41.0890448714432,74.399518528778,276.574819155861,20.0143244662842,4.0,Level 1,Highway,142.0,2,Night,13.152415138743123,9.087205180900133,68.02578403931156,Mild
Nissan Leaf,50.0,Station_97,Los Angeles,2024-01-04 03:00:00,2024-01-04 05:03:00,42.691405379616896,3.52069037590582,9.56924507314763,24.7907232332069,Thursday,51.2814034734103,93.1984628324621,171.89615323236,-5.27572797964604,4.0,Level 1,Institutional,123.0,3,Night,19.61695239995264,7.041438066483942,22.503689636637127,Below Freezing
Tesla Model 3,100.0,Station_169,San Francisco,2024-01-04 04:00:00,2024-01-04 05:17:00,49.2788373994772,3.86513610667853,49.4115192570268,39.931680760465,Thursday,86.3269882428571,75.5015104401627,246.344369710778,30.0820588067266,0.0,Level 1,Parking,77.0,4,Night,63.411449713184396,10.331248281649758,86.14770585210788,Hot
BMW i3,75.0,Station_169,New York,2024-01-04 05:00:00,2024-01-04 08:40:00,31.2188896838294,3.34099759202291,30.025912671564,17.6048953131502,Thursday,39.5176167628429,71.2717646355254,242.485562906319,39.831429771231,3.0,Level 2,Residential,220.0,5,Night,110.095013129068,5.269352888845027,103.6965735882158,Sweltering
BMW i3,100.0,Station_151,Houston,2024-01-04 06:00:00,2024-01-04 09:55:00,30.6516998185986,1.02881866661885,28.5223533354952,39.3220543801291,Thursday,38.121329992858,81.197210839798,12.1495166780781,-4.93274344317886,1.0,DC Fast Charger,Commercial,235.0,6,Morning,111.71255056402286,38.220587996676464,23.121061802278053,Below Freezing
BMW i3,75.0,Station_71,Houston,2024-01-04 07:00:00,2024-01-04 07:41:00,59.9864767329939,3.72936539983484,23.4179211500365,15.6830165627442,Thursday,88.0967684637146,96.1305685919979,281.763740323611,15.0606224485353,0.0,Level 1,Public,41.0,7,Morning,16.002246119191607,4.205277542243177,59.10912040736354,Cool
Hyundai Kona,48.0506947257829,Station_3,Los Angeles,2024-01-04 08:00:00,2024-01-04 11:05:00,51.6737477936413,0.691755364237198,46.5956784148208,18.0118117789312,Thursday,55.0721740778422,62.9357801094169,222.274666689346,2.55424380305172,7.0,Level 2,Mall,185.0,8,Morning,143.67000844569748,26.03783463073382,36.597638845493094,Chilly
